hours,t1,t2,t3,t4,t5,t6,tav,bot,mid,top
0,25.32,25,26.25,26,25.81,25.51,25.65,25,26.25,25.66
0.25,25.57,25.31,26.56,26.31,26.12,25.76,25.94,25.31,26.56,25.94
0.5,25.82,25.56,26.94,26.69,26.31,26.01,26.26,25.56,26.94,26.16
0.75,26.14,25.81,27.38,27.06,26.56,26.32,26.6,25.81,27.38,26.44
1,26.45,26.06,27.75,27.5,27,26.7,26.95,26.06,27.75,26.85
1.25,26.64,26.31,28.19,27.94,27.25,26.95,27.28,26.31,28.19,27.1
1.5,26.89,26.69,28.62,28.38,27.69,27.39,27.65,26.69,28.62,27.54
1.75,27.2,26.81,29.12,28.88,28.12,27.76,28.01,26.81,29.12,27.94
2,27.51,27.19,29.62,29.44,28.62,28.14,28.44,27.19,29.62,28.38
2.25,27.82,27.5,30.31,30.06,29.19,28.64,28.93,27.5,30.31,28.92
2.5,28.14,27.75,31,30.75,29.75,29.14,29.42,27.75,31,29.45
2.75,28.51,28.19,31.75,31.44,30.44,29.76,29.98,28.19,31.75,30.1
3,28.89,28.5,32.5,32.25,31.19,30.45,30.54,28.5,32.5,30.82
3.25,29.26,28.88,33.38,33.06,32.06,31.14,31.15,28.88,33.38,31.6
3.5,30.07,29.62,35.19,34.75,34.06,32.89,32.41,29.62,35.19,33.48
3.75,30.45,29.94,36.06,35.62,35.19,33.89,33.02,29.94,36.06,34.54
4,30.82,30.25,36.94,36.31,36.38,35.01,33.59,30.25,36.94,35.7
4.25,31.14,30.62,37.75,37.06,37.62,36.14,34.15,30.62,37.75,36.88
4.5,31.51,30.94,38.5,37.69,38.94,37.45,34.67,30.94,38.5,38.2
4.75,31.89,31.25,39.19,38.38,40.38,38.7,35.18,31.25,39.19,39.54
5,32.14,31.62,39.88,39,41.75,40.08,35.66,31.62,39.88,40.92
5.25,32.58,31.88,40.62,39.62,43.12,41.51,36.18,31.88,40.62,42.32
5.5,32.89,32.25,41.38,40.25,44.38,42.76,36.7,32.25,41.38,43.57
5.75,33.26,32.5,42.12,40.94,45.5,44.01,37.21,32.5,42.12,44.76
6,33.58,32.88,42.88,41.62,46.56,45.08,37.74,32.88,42.88,45.82
6.25,33.95,33.25,43.75,42.31,47.44,46.01,38.32,33.25,43.75,46.73
6.5,34.33,33.56,44.62,43.06,48,46.76,38.9,33.56,44.62,47.38
6.75,34.7,33.88,45.44,43.88,48.44,47.33,39.48,33.88,45.44,47.89
7,35.08,34.31,46.38,44.69,48.81,47.76,40.12,34.31,46.38,48.29
7.25,35.58,34.62,47.12,45.5,49.06,48.14,40.71,34.62,47.12,48.6
7.5,36.01,35.06,47.81,46.25,49.31,48.33,41.29,35.06,47.81,48.82
7.75,36.45,35.44,48.44,46.88,49.38,48.58,41.81,35.44,48.44,48.98
8,36.95,35.94,48.88,47.5,49.56,48.7,42.32,35.94,48.88,49.13
8.25,37.51,36.38,49.31,48,49.69,48.83,42.81,36.38,49.31,49.26
8.5,38.08,36.88,49.69,48.5,49.81,48.95,43.29,36.88,49.69,49.38
8.75,38.7,37.38,49.94,48.81,49.94,49.08,43.71,37.38,49.94,49.51
9,39.33,37.94,50.19,49.12,50.06,49.14,44.15,37.94,50.19,49.6
9.25,39.95,38.5,50.38,49.44,50.06,49.2,44.57,38.5,50.38,49.63
9.5,40.58,39.12,50.56,49.62,50.19,49.33,44.97,39.12,50.56,49.76
9.75,41.2,39.75,50.75,49.81,50.19,49.39,45.38,39.75,50.75,49.79
10,41.76,40.44,50.88,50,50.31,49.45,45.77,40.44,50.88,49.88
10.25,42.39,41.12,50.94,50.19,50.38,49.51,46.17,41.12,50.94,49.95
10.5,42.95,41.75,51.06,50.31,50.44,49.64,46.52,41.75,51.06,50.04
10.75,43.45,42.38,51.12,50.5,50.5,49.7,46.87,42.38,51.12,50.1
11,43.95,42.94,51.31,50.56,50.62,49.83,47.2,42.94,51.31,50.23
11.25,44.45,43.5,51.44,50.69,50.75,49.89,47.53,43.5,51.44,50.32
11.5,44.95,44.06,51.5,50.81,50.81,50.01,47.84,44.06,51.5,50.41
11.75,45.33,44.5,51.62,50.88,50.94,50.14,48.09,44.5,51.62,50.54
12,45.76,45.06,51.69,51,51.06,50.26,48.38,45.06,51.69,50.66
12.25,46.2,45.5,51.88,51.12,51.25,50.45,48.68,45.5,51.88,50.85
12.5,46.51,45.88,52,51.25,51.38,50.58,48.92,45.88,52,50.98
12.75,46.89,46.19,52.19,51.38,51.56,50.76,49.17,46.19,52.19,51.16
13,47.26,46.62,52.31,51.5,51.69,50.89,49.43,46.62,52.31,51.29
13.25,47.51,46.94,52.56,51.69,51.88,51.08,49.68,46.94,52.56,51.48
13.5,47.89,47.19,52.75,51.88,52.06,51.2,49.93,47.19,52.75,51.63
13.75,48.14,47.5,53,52.06,52.19,51.39,50.18,47.5,53,51.79
14,48.45,47.69,53.25,52.31,52.44,51.51,50.43,47.69,53.25,51.98
14.25,48.7,48,53.5,52.5,52.56,51.7,50.68,48,53.5,52.13
14.5,48.95,48.19,53.81,52.69,52.81,51.89,50.91,48.19,53.81,52.35
14.75,49.14,48.44,54.06,52.88,53,52.01,51.13,48.44,54.06,52.51
15,49.39,48.56,54.31,53.12,53.25,52.2,51.35,48.56,54.31,52.73
15.25,49.64,48.81,54.62,53.38,53.44,52.39,51.62,48.81,54.62,52.92
15.5,49.83,49,54.94,53.69,53.62,52.51,51.87,49,54.94,53.07
15.75,50.08,49.12,55.19,53.94,53.88,52.64,52.09,49.12,55.19,53.26
16,50.26,49.31,55.56,54.19,54.12,52.89,52.34,49.31,55.56,53.51
16.25,50.45,49.44,55.81,54.44,54.31,53.01,52.54,49.44,55.81,53.66
16.5,50.64,49.69,56.12,54.75,54.56,53.26,52.81,49.69,56.12,53.91
16.75,50.83,49.81,56.44,55,54.69,53.45,53.02,49.81,56.44,54.07
17,51.01,50,56.75,55.38,54.88,53.64,53.29,50,56.75,54.26
17.25,51.2,50.19,57,55.62,55.06,53.76,53.51,50.19,57,54.41
17.5,51.33,50.31,57.25,55.94,55.25,53.95,53.71,50.31,57.25,54.6
17.75,51.51,50.5,57.5,56.12,55.44,54.14,53.91,50.5,57.5,54.79
18,51.7,50.62,57.81,56.44,55.62,54.33,54.15,50.62,57.81,54.98
18.25,51.89,50.75,58.06,56.75,55.81,54.45,54.37,50.75,58.06,55.13
18.5,52.01,50.88,58.31,57,55.94,54.64,54.56,50.88,58.31,55.29
18.75,52.2,51,58.44,57.25,56.06,54.76,54.73,51,58.44,55.41
19,52.39,51.12,58.75,57.5,56.25,54.89,54.95,51.12,58.75,55.57
19.25,52.51,51.31,58.88,57.75,56.31,55.01,55.12,51.31,58.88,55.66
19.5,52.64,51.44,59.06,58,56.44,55.08,55.29,51.44,59.06,55.76
19.75,52.83,51.62,59.31,58.19,56.56,55.14,55.49,51.62,59.31,55.85
20,52.95,51.75,59.5,58.44,56.75,55.26,55.66,51.75,59.5,56.01
20.25,53.08,51.94,59.62,58.62,56.81,55.33,55.82,51.94,59.62,56.07
20.5,53.26,52.06,59.81,58.81,56.94,55.39,55.99,52.06,59.81,56.17
20.75,53.39,52.19,60,59,57.06,55.45,56.15,52.19,60,56.26
21,53.58,52.38,60.12,59.19,57.06,55.58,56.32,52.38,60.12,56.32
21.25,53.64,52.56,60.25,59.31,57.12,55.64,56.44,52.56,60.25,56.38
21.5,53.83,52.69,60.31,59.5,57.25,55.7,56.59,52.69,60.31,56.48
21.75,53.95,52.75,60.5,59.56,57.31,55.76,56.69,52.75,60.5,56.54
22,54.08,52.94,60.56,59.75,57.44,55.76,56.84,52.94,60.56,56.6
22.25,54.2,53.12,60.69,59.88,57.44,55.89,56.98,53.12,60.69,56.67
22.5,54.39,53.25,60.81,60,57.5,55.95,57.12,53.25,60.81,56.73
22.75,54.51,53.38,60.81,60.12,57.62,55.95,57.21,53.38,60.81,56.79
23,54.64,53.62,60.94,60.19,57.62,56.01,57.35,53.62,60.94,56.82
23.25,54.76,53.81,61.06,60.31,57.69,56.08,57.49,53.81,61.06,56.89
23.5,54.89,53.88,61.12,60.38,57.69,56.14,57.57,53.88,61.12,56.92
23.75,55.01,54,61.25,60.5,57.75,56.2,57.7,54,61.25,56.98
24,55.14,54.12,61.38,60.62,57.75,56.2,57.82,54.12,61.38,56.98
24.25,55.26,54.31,61.44,60.62,57.81,56.26,57.91,54.31,61.44,57.04
24.5,55.39,54.44,61.5,60.75,57.81,56.33,58.03,54.44,61.5,57.07
24.75,55.51,54.62,61.56,60.81,57.88,56.33,58.13,54.62,61.56,57.11
25,55.64,54.81,61.62,60.88,57.94,56.39,58.24,54.81,61.62,57.17
25.25,55.83,54.94,61.69,60.94,57.94,56.45,58.36,54.94,61.69,57.2
25.5,55.95,55.06,61.75,61,57.94,56.45,58.45,55.06,61.75,57.2
25.75,56.08,55.19,61.75,61.06,58,56.45,58.53,55.19,61.75,57.23
26,56.26,55.31,61.88,61.12,57.94,56.45,58.65,55.31,61.88,57.2
26.25,56.33,55.5,61.88,61.19,58,56.51,58.73,55.5,61.88,57.26
26.5,56.51,55.62,61.88,61.19,58,56.45,58.81,55.62,61.88,57.23
26.75,56.58,55.75,61.94,61.25,58,56.45,58.89,55.75,61.94,57.23
27,56.7,55.88,62,61.25,58,56.51,58.96,55.88,62,57.26
27.25,56.89,56,62,61.31,58,56.51,59.06,56,62,57.26
27.5,56.95,56.19,62.06,61.38,58,56.45,59.15,56.19,62.06,57.23
27.75,57.14,56.31,62.06,61.38,58,56.45,59.23,56.31,62.06,57.23
28,57.26,56.44,62.06,61.38,58,56.45,59.29,56.44,62.06,57.23
28.25,57.39,56.56,62.12,61.44,58.06,56.45,59.38,56.56,62.12,57.26
28.5,57.51,56.69,62.12,61.44,58,56.45,59.44,56.69,62.12,57.23
28.75,57.58,56.88,62.12,61.5,58,56.45,59.52,56.88,62.12,57.23
29,57.76,57,62.19,61.44,57.94,56.51,59.6,57,62.19,57.23
29.25,57.89,57.12,62.19,61.5,58,56.51,59.68,57.12,62.19,57.26
29.5,57.95,57.25,62.19,61.5,58,56.51,59.73,57.25,62.19,57.26
29.75,58.08,57.38,62.19,61.5,58,56.51,59.79,57.38,62.19,57.26
30,58.2,57.5,62.25,61.56,58,56.51,59.88,57.5,62.25,57.26
30.25,58.26,57.62,62.25,61.56,57.94,56.58,59.93,57.62,62.25,57.26
30.5,58.39,57.75,62.25,61.56,57.94,56.51,59.99,57.75,62.25,57.23
30.75,58.51,57.88,62.31,61.56,57.94,56.51,60.07,57.88,62.31,57.23
31,58.64,58,62.31,61.56,57.94,56.58,60.13,58,62.31,57.26
31.25,58.76,58.12,62.31,61.62,57.88,56.51,60.21,58.12,62.31,57.2
31.5,58.83,58.19,62.25,61.56,57.81,56.51,60.21,58.19,62.25,57.16
31.75,58.95,58.38,62.31,61.62,57.81,56.51,60.32,58.38,62.31,57.16
32,59.08,58.44,62.31,61.69,57.88,56.51,60.38,58.44,62.31,57.2
32.25,59.14,58.56,62.31,61.62,57.75,56.51,60.41,58.56,62.31,57.13
32.5,59.2,58.69,62.31,61.62,57.81,56.51,60.46,58.69,62.31,57.16
32.75,59.39,58.75,62.31,61.69,57.75,56.45,60.54,58.75,62.31,57.1
33,59.45,58.88,62.38,61.69,57.75,56.45,60.61,58.88,62.38,57.1
33.25,59.51,58.94,62.38,61.69,57.75,56.45,60.64,58.94,62.38,57.1
33.5,59.64,59.12,62.31,61.69,57.69,56.39,60.69,59.12,62.31,57.04
33.75,59.7,59.19,62.38,61.69,57.69,56.33,60.75,59.19,62.38,57.01
34,59.83,59.25,62.31,61.69,57.69,56.39,60.77,59.25,62.31,57.04
34.25,59.89,59.38,62.31,61.69,57.62,56.33,60.82,59.38,62.31,56.98
34.5,59.95,59.44,62.31,61.69,57.62,56.33,60.85,59.44,62.31,56.98
34.75,60.01,59.5,62.31,61.62,57.56,56.33,60.87,59.5,62.31,56.95
35,60.14,59.56,62.31,61.69,57.56,56.33,60.93,59.56,62.31,56.95
35.25,60.2,59.62,62.38,61.69,57.5,56.26,60.98,59.62,62.38,56.88
35.5,60.26,59.69,62.31,61.69,57.44,56.2,60.99,59.69,62.31,56.82
35.75,60.33,59.81,62.31,61.69,57.44,56.2,61.04,59.81,62.31,56.82
36,60.45,59.88,62.31,61.69,57.44,56.2,61.09,59.88,62.31,56.82
36.25,60.51,59.94,62.31,61.62,57.44,56.2,61.1,59.94,62.31,56.82
36.5,60.58,60,62.31,61.69,57.44,56.14,61.15,60,62.31,56.79
36.75,60.64,60.06,62.31,61.69,57.38,56.14,61.18,60.06,62.31,56.76
37,60.7,60.12,62.25,61.62,57.38,56.08,61.18,60.12,62.25,56.73
37.25,60.76,60.19,62.25,61.62,57.31,56.08,61.21,60.19,62.25,56.7
37.5,60.83,60.25,62.25,61.62,57.31,56.08,61.24,60.25,62.25,56.7
37.75,60.89,60.31,62.25,61.62,57.31,56.01,61.27,60.31,62.25,56.66
38,60.95,60.38,62.25,61.56,57.31,56.01,61.29,60.38,62.25,56.66
38.25,61.01,60.44,62.25,61.62,57.25,56.01,61.34,60.44,62.25,56.63
38.5,61.08,60.5,62.19,61.56,57.19,55.95,61.34,60.5,62.19,56.57
38.75,61.14,60.5,62.25,61.56,57.19,55.95,61.37,60.5,62.25,56.57
39,61.2,60.5,62.19,61.5,57.19,55.95,61.35,60.5,62.19,56.57
39.25,61.2,60.56,62.19,61.56,57.12,55.89,61.38,60.56,62.19,56.51
39.5,61.26,60.62,62.19,61.56,57.12,55.89,61.41,60.62,62.19,56.51
39.75,61.26,60.62,62.25,61.56,57.12,55.83,61.43,60.62,62.25,56.48
40,61.16,60.5,62.19,61.53,57.01,55.75,61.35,60.5,62.19,56.38
40.25,61.05,60.38,62.14,61.5,56.89,55.66,61.27,60.38,62.14,56.28
40.5,60.95,60.26,62.08,61.47,56.78,55.58,61.2,60.26,62.08,56.18
40.75,60.84,60.14,62.02,61.44,56.66,55.5,61.11,60.14,62.02,56.08
41,60.74,60.02,61.96,61.41,56.55,55.41,61.04,60.02,61.96,55.98
41.25,60.64,59.91,61.91,61.38,56.44,55.33,60.97,59.91,61.91,55.89
41.5,60.53,59.79,61.85,61.34,56.32,55.25,60.88,59.79,61.85,55.79
41.75,60.43,59.67,61.79,61.31,56.21,55.16,60.8,59.67,61.79,55.69
42,60.32,59.55,61.73,61.28,56.09,55.08,60.73,59.55,61.73,55.59
42.25,60.22,59.43,61.68,61.25,55.98,55,60.65,59.43,61.68,55.49
42.5,60.11,59.31,61.62,61.22,55.86,54.91,60.57,59.31,61.62,55.39
42.75,60.01,59.19,61.56,61.19,55.75,54.83,60.49,59.19,61.56,55.29
43,59.95,59.19,61.44,61,55.88,54.89,60.4,59.19,61.44,55.39
43.25,60.01,59.25,61.38,60.81,55.88,54.89,60.37,59.25,61.38,55.39
43.5,60.08,59.31,61.38,60.69,55.88,54.89,60.37,59.31,61.38,55.39
43.75,60.2,59.44,61.25,60.56,55.88,54.89,60.37,59.44,61.25,55.39
44,60.2,59.5,61.25,60.56,55.88,54.95,60.38,59.5,61.25,55.42
44.25,60.33,59.56,61.19,60.5,55.88,54.89,60.4,59.56,61.19,55.39
44.5,60.39,59.69,61.12,60.44,55.94,54.83,60.41,59.69,61.12,55.39
44.75,60.45,59.69,61.12,60.44,55.88,54.83,60.43,59.69,61.12,55.36
45,60.51,59.81,61.12,60.38,55.94,54.83,60.46,59.81,61.12,55.39
45.25,60.58,59.81,61.12,60.38,55.94,54.76,60.48,59.81,61.12,55.35
45.5,60.64,59.94,61.12,60.38,55.88,54.7,60.52,59.94,61.12,55.29
45.75,60.7,59.94,61.19,60.44,55.88,54.64,60.57,59.94,61.19,55.26
46,60.83,60,61.12,60.44,55.81,54.64,60.6,60,61.12,55.23
46.25,60.89,60.12,61.19,60.44,55.81,54.58,60.67,60.12,61.19,55.2
46.5,60.95,60.12,61.19,60.44,55.81,54.51,60.68,60.12,61.19,55.16
46.75,61.01,60.19,61.19,60.44,55.81,54.51,60.71,60.19,61.19,55.16
47,61.08,60.31,61.19,60.5,55.81,54.45,60.78,60.31,61.19,55.13
47.25,61.14,60.38,61.12,60.5,55.81,54.45,60.79,60.38,61.14,55.13
47.5,61.2,60.44,61.19,60.5,55.81,54.45,60.84,60.44,61.2,55.13
47.75,61.26,60.5,61.19,60.56,55.81,54.39,60.88,60.5,61.26,55.1
48,61.33,60.5,61.25,60.5,55.81,54.39,60.9,60.5,61.33,55.1
48.25,61.39,60.62,61.25,60.56,55.81,54.39,60.96,60.56,61.39,55.1
48.5,61.45,60.62,61.19,60.56,55.81,54.45,60.96,60.56,61.45,55.13
48.75,61.51,60.69,61.25,60.56,55.81,54.45,61.01,60.56,61.51,55.13
49,61.51,60.81,61.31,60.56,55.75,54.39,61.05,60.56,61.51,55.07
49.25,61.58,60.81,61.31,60.62,55.81,54.39,61.09,60.62,61.58,55.1
49.5,61.64,60.88,61.31,60.62,55.81,54.39,61.12,60.62,61.64,55.1
49.75,61.64,60.94,61.38,60.62,55.81,54.39,61.15,60.62,61.64,55.1
50,61.7,60.94,61.38,60.69,55.88,54.33,61.18,60.69,61.7,55.11
50.25,61.76,61,61.38,60.75,55.81,54.39,61.23,60.75,61.76,55.1
50.5,61.83,61.06,61.38,60.75,55.81,54.33,61.26,60.75,61.83,55.07
50.75,61.83,61.12,61.44,60.75,55.81,54.33,61.29,60.75,61.83,55.07
51,61.89,61.12,61.38,60.75,55.88,54.39,61.29,60.75,61.89,55.14
51.25,61.95,61.19,61.44,60.81,55.88,54.39,61.35,60.81,61.95,55.14
51.5,61.95,61.25,61.44,60.81,55.81,54.39,61.37,60.81,61.95,55.1
51.75,62.01,61.25,61.44,60.81,55.81,54.39,61.38,60.81,62.01,55.1
52,62.08,61.38,61.44,60.81,55.88,54.39,61.43,60.81,62.08,55.14
52.25,62.08,61.38,61.5,60.81,55.88,54.33,61.45,60.81,62.08,55.11
52.5,62.14,61.44,61.5,60.88,55.88,54.33,61.49,60.88,62.14,55.11
52.75,62.14,61.5,61.56,60.88,55.88,54.39,61.52,60.88,62.14,55.14
53,62.2,61.56,61.56,60.81,55.88,54.39,61.54,60.81,62.2,55.14
53.25,62.26,61.56,61.62,60.88,55.94,54.39,61.58,60.88,62.26,55.17
53.5,62.26,61.62,61.62,60.88,55.94,54.39,61.6,60.88,62.26,55.17
53.75,62.33,61.62,61.62,60.94,55.94,54.39,61.63,60.94,62.33,55.17
54,62.33,61.69,61.62,60.94,55.88,54.39,61.65,60.94,62.33,55.14
54.25,62.39,61.75,61.69,60.94,56,54.39,61.7,60.94,62.39,55.2
54.5,62.39,61.75,61.69,60.94,56,54.33,61.7,60.94,62.39,55.17
54.75,62.45,61.81,61.75,60.94,55.94,54.39,61.74,60.94,62.45,55.17
55,62.51,61.81,61.69,61,56,54.39,61.76,61,62.51,55.2
55.25,62.51,61.94,61.75,61,55.94,54.45,61.81,61,62.51,55.2
55.5,62.51,61.94,61.75,61,56,54.45,61.81,61,62.51,55.23
55.75,62.58,62,61.75,61.06,55.94,54.39,61.85,61.06,62.58,55.17
56,62.58,61.94,61.81,61,55.94,54.39,61.84,61,62.58,55.17
56.25,62.58,62,61.75,61.06,55.94,54.39,61.85,61.06,62.58,55.17
56.5,62.64,62.06,61.75,61.06,55.88,54.39,61.88,61.06,62.64,55.14
56.75,62.64,62.06,61.81,61.12,55.88,54.39,61.91,61.12,62.64,55.14
57,62.7,62.12,61.75,61.06,55.88,54.33,61.91,61.06,62.7,55.11
57.25,62.7,62.12,61.81,61.06,55.88,54.39,61.93,61.06,62.7,55.14
57.5,62.76,62.12,61.75,61.06,55.88,54.33,61.93,61.06,62.76,55.11
57.75,62.76,62.19,61.75,61.06,55.94,54.33,61.95,61.06,62.76,55.14
