hours,bot,mid,top,tav
78.25,59.31,61.89,52.01,60.65
78.5,59.31,61.89,51.98,60.63
78.75,59.25,61.89,51.91,60.6
79,59.19,61.89,51.88,60.59
79.25,59.19,61.89,51.85,60.59
79.5,59.12,61.89,51.79,60.57
79.75,59.12,61.83,51.76,60.53
80,59.12,61.76,51.66,60.49
80.25,59.06,61.76,51.7,60.46
80.5,59.06,61.76,51.63,60.46
80.75,59,61.76,51.6,60.44
81,59,61.7,51.51,60.41
81.25,58.94,61.7,51.51,60.38
81.5,58.94,61.64,51.48,60.35
81.75,58.94,61.7,51.38,60.37
82,58.88,61.64,51.38,60.31
82.25,58.88,61.64,51.32,60.29
82.5,58.88,61.64,51.26,60.31
82.75,58.81,61.58,51.23,60.26
83,58.81,61.58,51.16,60.24
83.25,58.75,61.58,51.16,60.21
83.5,58.69,61.51,51.1,60.18
83.75,58.69,61.51,51.07,60.16
84,58.69,61.51,51.01,60.16
84.25,58.62,61.51,50.98,60.12
84.5,58.62,61.45,50.95,60.1
84.75,58.56,61.45,50.95,60.07
85,58.56,61.45,50.88,60.07
85.25,58.56,61.39,50.85,60.02
85.5,58.56,61.39,50.76,60.02
85.75,58.5,61.39,50.76,60.01
86,58.44,61.39,50.66,59.99
86.25,58.5,61.33,50.63,59.95
86.5,58.38,61.33,50.6,59.93
86.75,58.38,61.26,50.54,59.88
87,58.38,61.26,50.54,59.88
87.25,58.38,61.2,50.48,59.85
87.5,58.31,61.2,50.41,59.83
87.75,58.25,61.2,50.41,59.8
88,58.25,61.14,50.35,59.79
88.25,58.19,61.2,50.32,59.76
88.5,58.19,61.14,50.29,59.73
88.75,58.19,61.14,50.23,59.73
89,58.12,61.14,50.23,59.69
89.25,58.06,61.08,50.16,59.65
89.5,58.12,61.08,50.13,59.66
89.75,58.06,61.01,50.04,59.61
90,58,61.01,50.04,59.6
90.25,58,60.95,49.95,59.55
90.5,57.94,61.01,49.95,59.54
90.75,57.94,60.95,49.92,59.52
91,57.94,60.89,49.88,59.48
91.25,57.88,60.89,49.79,59.46
91.5,57.88,60.89,49.76,59.45
91.75,57.81,60.83,49.73,59.4
92,57.75,60.83,49.69,59.37
92.25,57.75,60.76,49.63,59.33
92.5,57.75,60.76,49.54,59.33
92.75,57.69,60.76,49.54,59.3
93,57.62,60.7,49.51,59.25
93.25,57.62,60.7,49.48,59.25
93.5,57.62,60.7,49.38,59.22
93.75,57.56,60.7,49.35,59.19
94,57.5,60.64,49.35,59.13
94.25,57.5,60.58,49.26,59.12
94.5,57.5,60.58,49.23,59.1
94.75,57.5,60.51,49.2,59.09
95,57.44,60.51,49.16,59.06
95.25,57.38,60.51,49.1,58.99
95.5,57.38,60.45,49.1,58.98
95.75,57.38,60.45,48.98,58.96
96,57.31,60.39,48.95,58.93
96.25,57.25,60.39,48.88,58.88
96.5,57.25,60.39,48.85,58.88
96.75,57.19,60.33,48.85,58.84
97,57.19,60.33,48.76,58.82
97.25,57.12,60.33,48.76,58.77
97.5,57.12,60.26,48.66,58.74
97.75,57.06,60.26,48.63,58.71
98,57.06,60.2,48.57,58.68
98.25,57.06,60.2,48.54,58.66
98.5,57,60.14,48.51,58.62
98.75,57,60.14,48.48,58.62
99,56.94,60.14,48.45,58.6
99.25,56.88,60.08,48.42,58.53
99.5,56.81,60.08,48.39,58.52
99.75,56.81,60.08,48.35,58.48
100,56.81,60.01,48.26,58.46
100.25,56.75,60.01,48.23,58.45
100.5,56.75,59.95,48.26,58.41
100.75,56.75,59.95,48.26,58.4
101,56.69,59.95,48.17,58.37
101.25,56.69,59.95,48.1,58.34
101.5,56.62,59.89,48.13,58.3
101.75,56.62,59.89,48.07,58.29
102,56.56,59.89,48.04,58.27
102.25,56.56,59.83,48.01,58.21
102.5,56.5,59.83,47.98,58.21
102.75,56.5,59.76,47.95,58.18
103,56.5,59.76,47.92,58.15
103.25,56.44,59.76,47.86,58.13
103.5,56.38,59.76,47.86,58.09
103.75,56.38,59.7,47.79,58.07
104,56.44,59.7,47.76,58.07
104.25,56.38,59.7,47.73,58.04
104.5,56.31,59.64,47.7,57.99
104.75,56.25,59.64,47.67,57.96
105,56.25,59.64,47.63,57.95
105.25,56.19,59.58,47.63,57.92
105.5,56.19,59.58,47.6,57.89
105.75,56.19,59.51,47.54,57.85
106,56.12,59.51,47.54,57.8
106.25,56.12,59.51,47.45,57.82
106.5,56.06,59.45,47.42,57.76
106.75,56.06,59.45,47.39,57.76
107,56,59.45,47.35,57.73
107.25,55.94,59.45,47.29,57.7
107.5,55.94,59.39,47.29,57.67
107.75,55.94,59.39,47.26,57.67
108,55.81,59.33,47.2,57.6
108.25,55.81,59.33,47.2,57.57
108.5,55.81,59.33,47.16,57.56
108.75,55.75,59.33,47.13,57.53
109,55.75,59.26,47.1,57.51
109.25,55.69,59.26,47.04,57.48
