hours,mc70,mc60,mc50
98.75,29.35,26.41,41.51
99.00,29.29,26.38,41.32
99.25,29.23,26.35,41.17
99.50,29.23,26.29,40.98
99.75,29.16,26.29,40.79
100.00,29.10,26.25,40.64
100.25,29.07,26.22,40.42
100.50,29.07,26.19,40.26
100.75,29.01,26.16,40.07
101.00,29.01,26.16,39.85
101.25,28.91,26.10,39.67
101.50,28.88,26.04,39.54
101.75,28.85,26.04,39.35
102.00,28.79,26.00,39.17
102.25,28.79,26.00,38.95
102.50,28.76,25.94,38.76
102.75,28.73,25.94,38.57
103.00,28.63,25.88,38.45
103.25,28.60,25.88,38.26
103.50,28.57,25.84,38.11
103.75,28.51,25.78,37.98
104.00,28.47,25.75,37.79
104.25,28.44,25.66,37.61
104.50,28.38,25.69,37.45
104.75,28.35,25.66,37.26
105.00,28.29,25.63,37.07
105.25,28.26,25.60,36.95
105.50,28.23,25.56,36.76
105.75,28.20,25.56,36.60
106.00,28.16,25.47,36.45
106.25,28.07,25.44,36.32
106.50,28.04,25.47,36.14
106.75,28.04,25.44,35.95
107.00,27.94,25.41,35.79
107.25,27.94,25.34,35.67
107.50,27.88,25.28,35.48
107.75,27.85,25.28,35.32
108.00,27.82,25.28,35.20
108.25,27.76,25.28,35.01
108.50,27.73,25.16,34.85
108.75,27.69,25.19,34.73
109.00,27.66,25.10,34.57
109.25,27.60,25.10,34.42
109.50,27.57,25.07,34.26
109.75,27.57,25.03,34.10
110.00,27.47,25.04,33.95
110.25,27.41,25.00,33.82
110.50,27.38,24.94,33.70
110.75,27.41,24.91,33.54
111.00,27.35,24.88,33.38
111.25,27.29,24.85,33.23
111.50,27.29,24.81,33.10
111.75,27.23,24.81,32.95
112.00,27.16,24.78,32.79
112.25,27.13,24.78,32.67
112.50,27.07,24.72,32.51
112.75,27.04,24.69,32.38
113.00,26.97,24.60,32.26
113.25,26.91,24.60,32.10
113.50,26.91,24.63,31.95
113.75,26.91,24.54,31.82
114.00,26.82,24.54,31.67
114.25,26.79,24.47,31.54
114.50,26.76,24.44,31.38
114.75,26.73,24.44,31.29
115.00,26.66,24.38,31.14
115.25,26.60,24.38,31.01
115.50,26.60,24.32,30.88
115.75,26.54,24.32,30.76
116.00,26.51,24.25,30.64
116.25,26.47,24.19,30.48
116.50,26.41,24.19,30.35
116.75,26.38,24.16,30.26
117.00,26.35,24.10,30.10
117.25,26.29,24.10,29.98
117.50,26.23,24.07,29.79
117.75,26.23,24.03,29.67
118.00,26.16,24.00,29.57
118.25,26.10,23.97,29.38
118.50,26.07,23.94,29.29
118.75,26.04,23.91,29.20
119.00,26.01,23.88,29.07
119.25,25.91,23.82,28.91
119.50,25.94,23.82,28.82
119.75,25.91,23.82,28.70
120.00,25.82,23.75,28.57
120.25,25.82,23.69,28.45
120.50,25.76,23.69,28.32
120.75,25.69,23.63,28.23
121.00,25.69,23.62,28.13
121.25,25.66,23.66,28.01
121.50,25.60,23.59,27.95
121.75,25.54,23.56,27.76
122.00,25.51,23.53,27.67
122.25,25.47,23.53,27.57
122.50,25.44,23.44,27.45
122.75,25.41,23.41,27.35
123.00,25.35,23.38,27.29
123.25,25.32,23.35,27.13
123.50,25.32,23.35,27.04
123.75,25.26,23.31,26.88
